Year,K,GrowthRate,N_Initial,PopSizes_Mean,PopSizes_Std,N_Females,N_Males,N_YYMales,N_YYFemales,N_MatureFemales,N_MatureMales,N_MatureYYMales,N_MatureYYFemales,MatureCount,ImmatureCount,EggLayEvents,Births,EggDeaths,MyyProgeny,FyyProgeny,Capture_Back,SelectionDeaths_Emigration,MoveDeaths_Emigration,PNratio_Emi,N_beforePacking_AddAge0s,PackingDeaths_Emigration,YYSelectionPackingDeaths_Emi,WildSelectionPackingDeaths_Emi,N_Emigration,Deaths_EmiMort,N_EmiMortality,Capture_Out,SelectionDeaths_Immigration,MoveDeaths_Immigration,PNratio_Immi,PackingDeaths_Immigration,YYSelectionPackingDeaths_Immi,WildSelectionPackingDeaths_Immi,SelectionDeaths_Age0s_Immigration,N_Immigration,Deaths_ImmiMort,N_ImmiMortality,Alleles,He,Ho,p1,p2,q1,q2,MateDist,MateDist_SD,Female_EmigrationDist,Female_EmigrationDist_SD,Male_EmigrationDist,Male_EmigrationDist_SD,Female_FromHomeDist,Female_FromHomeDist_SD,Male_FromHomeDist,Male_FromHomeDist_SD,Female_StrayerDist,Female_StrayerDist_SD,Male_StrayerDist,Male_StrayerDist_SD,Female_HomeAttemptStrayDist,Female_HomeAttemptStrayDist_SD,Male_HomeAttemptStrayDist,Male_HomeAttemptStrayDist_SD,DeseaseStates,Residors,Strayers_1,Strayers_2,Immigrators,ResidentDispersers,ImmigrantDispersers,AA_aa_Mates,AA_AA_Mates,aa_aa_Mates,AA_Aa_Mates,aa_Aa_Mates,Aa_Aa_Mates
10,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0889235569422777,1282|186|179|187|186|179|190|175|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,647|91|87|100|109|90|87|83|,635|95|92|87|77|89|103|92|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,315|37|55|40|74|29|39|41|,282|34|55|36|48|30|33|46|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,597,685,315,1493|216|259|168|270|163|227|190|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2775|402|438|355|456|342|417|365|,675|102|138|55|156|42|117|65|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2099|300|300|299|300|300|300|300|,433|48|71|65|74|56|50|69|,1666|252|229|234|226|244|250|231|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1666|249|205|247|232|257|239|237|,270|42|35|45|47|39|26|36|,1396|207|170|202|185|218|213|201|,20|20|20|20|20|20|20|20|,0.893379865459829|0.8903485952133194|0.8906401173496458|0.8926549229317395|0.8897632674297606|0.8918495053213071|0.8862326869806094|0.8869061224489796|,0.8798751950078003|0.8897849462365591|0.8910614525139665|0.8957219251336899|0.8736559139784946|0.9022346368715084|0.8447368421052631|0.8628571428571429|,0.11622464898595944,0.09477379095163807,0.1497659906396256,0.09555382215288612,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1282|186|179|187|186|179|190|175|,207|170|202|185|218|213|201|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,57|56|65|67|71|64|64|,0|0|0|0|0|0|0|,0,0,0,0,0,0
11,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.8595988538681948,1396|207|170|202|185|218|213|201|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,686|98|80|107|90|104|107|100|,710|109|90|95|95|114|106|101|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,229|36|18|47|19|45|31|33|,253|43|24|40|21|48|41|36|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,482,914,229,473|100|37|66|56|87|45|82|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1869|307|207|268|241|305|258|283|,12|7|0|0|0|5|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1857|300|207|268|241|300|258|283|,478|78|42|87|40|90|72|69|,1379|222|165|181|201|210|186|214|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1379|210|180|187|211|201|192|198|,179|26|23|19|31|30|19|31|,1200|184|157|168|180|171|173|167|,20|20|20|20|20|20|20|20|,0.8923116651341122|0.892471236201545|0.8859342560553634|0.8937481619449074|0.8775237399561724|0.8918283393653732|0.886993321430933|0.8881958367367144|,0.8828796561604585|0.8864734299516909|0.888235294117647|0.8836633663366337|0.8837837837837837|0.8876146788990825|0.8568075117370892|0.8955223880597015|,0.1167621776504298,0.08739255014326648,0.15401146131805157,0.11138968481375358,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1396|207|170|202|185|218|213|201|,184|157|168|180|171|173|167|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,24|25|27|31|30|26|17|,0|0|0|0|0|0|0|,0,0,0,0,0,0
12,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.005,1200|184|157|168|180|171|173|167|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,610|92|75|90|88|83|94|88|,590|92|82|78|92|88|79|79|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,410|54|58|58|62|49|70|59|,420|61|59|53|66|61|62|58|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,830,370,410,1656|231|251|204|203|265|249|253|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,2856|415|408|372|383|436|422|420|,756|115|108|72|83|136|122|120|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2098|300|300|300|300|300|299|299|,617|87|88|91|105|75|89|82|,1481|213|212|209|195|225|210|217|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1481|213|188|216|212|213|233|206|,275|41|36|39|29|36|55|39|,1206|172|152|177|183|177|178|167|,20|20|20|20|20|20|20|20|,0.8908092013888889|0.8905511578449905|0.8875410767171082|0.8898100907029478|0.8795601851851852|0.888777743579221|0.8867486384443182|0.8869088170963463|,0.8870833333333333|0.8994565217391305|0.8821656050955414|0.8869047619047619|0.8805555555555555|0.8918128654970761|0.8641618497109826|0.9041916167664671|,0.1175,0.08,0.15875,0.11125,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200|184|157|168|180|171|173|167|,172|152|177|183|177|178|167|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,70|58|67|87|66|82|69|,0|0|0|0|0|0|0|,0,0,0,0,0,0
13,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0688225538971807,1206|172|152|177|183|177|178|167|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,599|90|65|92|86|95|84|87|,607|82|87|85|97|82|94|80|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,137|25|12|24|21|21|15|19|,110|17|17|18|20|18|13|7|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,247,959,137,555|109|26|47|155|68|63|87|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1761|281|178|224|338|245|241|254|,38|0|0|0|38|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1723|281|178|224|300|245|241|254|,240|42|29|42|34|39|28|26|,1483|239|149|182|266|206|213|228|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1483|218|185|198|232|214|220|216|,194|31|18|33|30|29|27|26|,1289|187|167|165|202|185|193|190|,20|20|20|20|20|20|20|20|,0.8873565079522234|0.8809322606814495|0.8800748788088643|0.8899581857065338|0.8843202245513452|0.8756264164192921|0.8852417624037369|0.8834217791960988|,0.8747927031509121|0.8691860465116279|0.8717105263157895|0.8587570621468926|0.8661202185792349|0.8785310734463276|0.8904494382022472|0.8892215568862275|,0.10655058043117745,0.08830845771144279,0.1654228855721393,0.10613598673300166,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1206|172|152|177|183|177|178|167|,187|167|165|202|185|193|190|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,26|40|32|33|39|31|27|,0|0|0|0|0|0|0|,0,0,0,0,0,2
14,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.0325833979829324,1289|187|167|165|202|185|193|190|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,628|86|75|80|109|95|94|89|,661|101|92|85|93|90|99|101|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,410|59|48|57|59|67|60|60|,445|62|65|59|57|59|76|67|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,855,434,410,2697|496|306|315|343|341|462|434|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3986|683|473|480|545|526|655|624|,1886|383|173|180|245|226|355|324|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2099|300|300|300|300|300|299|300|,457|54|67|71|65|76|55|69|,1642|246|233|229|235|224|244|231|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1642|236|258|218|225|228|243|234|,311|39|58|41|51|34|44|44|,1331|197|200|177|174|194|199|190|,20|20|20|20|20|20|20|20|,0.8919405773384748|0.8866281563670679|0.8832693893649827|0.8917171717171717|0.8875722968336438|0.8819576333089847|0.8911514403071223|0.8909626038781163|,0.878200155159038|0.8582887700534759|0.8862275449101796|0.8757575757575757|0.8638613861386139|0.8810810810810811|0.8860103626943006|0.8973684210526316|,0.11171450737005431,0.09038013964313421,0.15205585725368503,0.09425911559348332,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1289|187|167|165|202|185|193|190|,197|200|177|174|194|199|190|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,80|98|73|65|82|88|82|,0|0|0|0|0|0|0|,0,0,0,0,0,0
15,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9263711495116453,1331|197|200|177|174|194|199|190|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,655|105|107|82|90|92|88|91|,676|92|93|95|84|102|111|99|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,107|13|19|11|24|18|12|10|,97|15|15|14|12|19|8|14|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,204,1127,107,272|30|32|34|80|46|31|19|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1603|227|232|211|254|240|230|209|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1603|227|232|211|254|240|230|209|,204|28|34|25|36|37|20|24|,1399|199|198|186|218|203|210|185|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1399|199|203|188|196|207|207|199|,166|19|34|19|20|22|28|24|,1233|180|169|169|176|185|179|175|,20|20|20|20|20|20|20|20|,0.8875184089060438|0.8813548403720787|0.88133125|0.8847553385042612|0.8871465847536002|0.8834360718461047|0.8895166788717457|0.8855886426592798|,0.8801652892561983|0.8604060913705583|0.8975|0.9011299435028248|0.8879310344827587|0.8479381443298969|0.8819095477386935|0.8868421052631579|,0.12359128474830954,0.08564988730277986,0.15702479338842976,0.10818933132982719,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1331|197|200|177|174|194|199|190|,180|169|169|176|185|179|175|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,13|13|16|16|24|10|20|,0|0|0|0|0|0|0|,0,0,0,0,0,0
16,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9902676399026764,1233|180|169|169|176|185|179|175|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,588|95|86|80|89|83|72|83|,645|85|83|89|87|102|107|92|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,482|85|73|66|60|66|61|71|,533|73|70|74|66|77|95|78|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1015,218,482,2484|377|402|403|271|414|283|334|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3717|557|571|572|447|599|462|509|,1617|257|271|272|147|299|162|209|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2098|300|300|300|299|299|300|300|,577|90|74|79|78|73|101|82|,1521|210|226|221|221|226|199|218|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1521|179|209|219|246|222|218|228|,300|24|41|43|49|52|42|49|,1221|155|168|176|197|170|176|179|,20|20|20|20|20|20|20|20|,0.8889648612862423|0.881736111111111|0.8804663702251322|0.8868649557088337|0.8908751936983471|0.8853469685902118|0.8884788240067414|0.8861632653061224|,0.8864557988645579|0.875|0.9053254437869822|0.8905325443786982|0.8977272727272727|0.8675675675675676|0.888268156424581|0.8828571428571429|,0.12854825628548255,0.08880778588807786,0.1492295214922952,0.1070559610705596,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1233|180|169|169|176|185|179|175|,155|168|176|197|170|176|179|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,68|72|81|92|73|86|80|,0|0|0|0|0|0|0|,0,0,0,1,0,0
17,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9852579852579852,1221|155|168|176|197|170|176|179|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,609|75|88|88|103|79|87|89|,612|80|80|88|94|91|89|90|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,51|1|8|5|16|11|4|6|,63|6|9|3|16|15|6|8|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,114,1107,51,244|3|26|48|96|50|11|10|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1465|158|194|224|293|220|187|189|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1465|158|194|224|293|220|187|189|,114|7|17|8|32|26|10|14|,1351|151|177|216|261|194|177|175|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1351|167|180|210|227|190|190|187|,148|10|24|24|29|20|18|23|,1203|157|156|186|198|170|172|164|,20|20|20|20|20|20|20|20|,0.8847236224386101|0.8831217481789803|0.8729361536281179|0.8820134943181818|0.8831005694555387|0.8858564013840831|0.8798989540289256|0.8762835117505696|,0.8824733824733825|0.9129032258064517|0.8809523809523809|0.8778409090909091|0.8477157360406091|0.9147058823529411|0.8778409090909091|0.8743016759776536|,0.12039312039312039,0.085995085995086,0.16339066339066338,0.10278460278460279,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1221|155|168|176|197|170|176|179|,157|156|186|198|170|172|164|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,18|11|14|12|20|16|15|,0|0|0|0|0|0|0|,0,0,0,0,1,0
18,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0.9467996674979219,1203|157|156|186|198|170|172|164|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,613|79|82|94|104|83|89|82|,590|78|74|92|94|87|83|82|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,510|72|71|75|78|63|78|73|,491|67|65|78|71|67|72|71|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1001,202,510,1957|263|252|286|342|210|324|280|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3160|420|408|472|540|380|496|444|,1060|120|108|172|240|80|196|144|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100|300|300|300|300|300|300|300|,682|102|103|94|88|105|95|95|,1418|198|197|206|212|195|205|205|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1418|210|194|201|195|205|207|206|,279|42|42|40|42|34|38|41|,1139|168|152|161|153|171|169|165|,20|20|20|20|20|20|20|20|,0.887346782669262|0.886810823968518|0.8728632478632479|0.8850589663544919|0.8851775329048056|0.8869204152249135|0.8828758788534343|0.8767195865556217|,0.8699085619285121|0.9012738853503185|0.8557692307692307|0.8709677419354839|0.8181818181818182|0.9205882352941176|0.8691860465116279|0.8628048780487805|,0.12261014131338321,0.09642560266001662,0.1512884455527847,0.09850374064837905,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1203|157|156|186|198|170|172|164|,168|152|161|153|171|169|165|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,83|61|73|70|79|69|77|,0|0|0|0|0|0|0|,0,0,0,0,0,0
19,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.009657594381036,1139|168|152|161|153|171|169|165|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,555|83|74|75|76|88|79|80|,584|85|78|86|77|83|90|85|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,59|3|6|11|9|17|5|8|,57|7|4|7|10|15|8|6|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,116,1023,59,291|7|15|46|32|90|40|61|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1430|175|167|207|185|261|209|226|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,1430|175|167|207|185|261|209|226|,116|10|10|18|19|32|13|14|,1314|165|157|189|166|229|196|212|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1314|180|165|184|166|223|202|194|,164|20|15|30|23|29|23|24|,1150|160|150|154|143|194|179|170|,20|20|20|20|20|20|20|20|,0.8852246282916872|0.8807397959183674|0.8719161184210527|0.884003317773234|0.8784441881327694|0.8871960603262542|0.8765361857077834|0.8827180899908172|,0.8920105355575065|0.875|0.8552631578947368|0.9099378881987578|0.9084967320261438|0.9064327485380117|0.8994082840236687|0.8878787878787879|,0.10667251975417033,0.07901668129938542,0.1646180860403863,0.12071992976294996,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139|168|152|161|153|171|169|165|,160|150|154|143|194|179|170|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,16|14|16|8|20|19|10|,0|0|0|0|0|0|0|,0,0,0,1,0,0
20,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,1.037391304347826,1150|160|150|154|143|194|179|170|,31.0|31.0|31.0|31.0|31.0|31.0|31.0|,0.0|0.0|0.0|0.0|0.0|0.0|0.0|,575|86|76|73|70|102|87|81|,575|74|74|81|73|92|92|89|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,457|74|64|57|62|67|69|64|,462|67|67|64|61|61|68|74|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,919,231,457,2093|321|351|261|293|284|324|259|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,3243|481|501|415|436|478|503|429|,1143|181|201|115|136|178|203|129|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100|300|299|300|300|301|300|300|,636|95|76|92|94|84|88|107|,1464|205|223|208|206|217|212|193|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,2100.0|300.0|300.0|300.0|300.0|300.0|300.0|300.0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,1464|200|213|229|190|201|235|196|,271|34|44|43|34|35|52|29|,1193|166|169|186|156|166|183|167|,20|20|20|20|20|20|20|20|,0.8872315689981096|0.885244140625|0.8735333333333334|0.8832117557766909|0.8768888454203139|0.885442129875651|0.8811054586311289|0.8860207612456747|,0.8873913043478261|0.878125|0.8766666666666667|0.8993506493506493|0.8776223776223776|0.8943298969072165|0.8854748603351955|0.8970588235294118|,0.10956521739130434,0.07608695652173914,0.15347826086956523,0.10782608695652174,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1150|160|150|154|143|194|179|170|,166|169|186|156|166|183|167|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,0|0|0|0|0|0|0|,60|75|93|64|75|81|77|,0|0|0|0|0|0|0|,0,0,0,0,0,0
